"","ideology","norm_news","norm_branches","norm_officials","norm_facts","egal_equalop","egal_worryless","egal_notbigprob","egal_fewerprobs","moraltrad_adjmoral","moraltrad_moretrad","auth_childind","auth_childcur","auth_childobed","auth_childconsid","education","sex","interest","econ_perc","age"
"1",6,5,5,5,5,5,1,1,1,3,1,2,2,2,1,"Less than high school","Male","Somewhat interested","About the same","30-49"
"2",4,5,4,4,3,3,3,3,2,3,4,2,2,2,1,"Less than high school","Female","Not much interested","Much worse off","30-49"
"3",2,5,5,5,5,1,5,5,1,1,5,1,1,2,1,"Less than high school","Female","Somewhat interested","About the same","30-49"
"4",3,4,4,5,4,1,1,3,2,2,2,2,2,1,2,"Less than high school","Male","Not much interested","About the same","30-49"
"5",5,5,5,5,1,4,2,3,4,4,2,1,1,2,1,"Less than high school","Male","Somewhat interested","About the same","65+"
"6",4,5,5,5,2,2,2,3,2,3,3,2,2,2,1,"Less than high school","Female","Very much interested","About the same","65+"
"7",4,3,4,4,3,1,3,1,1,1,1,1,2,1,1,"Less than high school","Female","Somewhat interested","Much worse off","30-49"
"8",NA,1,1,1,1,1,5,5,1,1,1,2,2,1,2,"Less than high school","Female","Not much interested","Much worse off","30-49"
"9",NA,2,4,3,2,3,4,3,3,2,3,2,2,1,2,"Less than high school","Female","Somewhat interested","About the same","65+"
"10",NA,4,5,3,2,3,4,3,5,2,3,2,1,1,1,"Less than high school","Male","Somewhat interested","Somewhat worse off","30-49"
"11",NA,4,4,5,3,2,4,2,2,2,2,2,2,1,2,"Less than high school","Female","Somewhat interested","Somewhat better off","30-49"
"12",4,3,4,4,3,4,2,3,4,2,2,2,2,2,1,"Less than high school","Male","Somewhat interested","Much better off","50-64"
"13",6,1,5,4,3,3,3,3,3,3,3,2,2,2,1,"Less than high school","Female","Somewhat interested","Somewhat worse off","30-49"
"14",3,5,5,5,5,1,5,4,1,4,2,2,1,2,1,"Less than high school","Male","Very much interested","Somewhat worse off","30-49"
"15",4,1,3,2,2,1,5,5,2,2,2,2,2,1,2,"Less than high school","Female","Somewhat interested","About the same","30-49"
"16",6,1,5,5,5,2,3,3,3,5,3,2,2,2,1,"Less than high school","Male","Very much interested","About the same","65+"
"17",3,5,5,5,4,1,3,4,1,2,2,1,1,2,1,"Less than high school","Male","Very much interested","About the same","50-64"
"18",3,5,5,5,5,1,5,5,1,4,1,2,1,2,1,"Less than high school","Male","Very much interested","About the same","50-64"
"19",2,5,4,5,5,2,4,5,2,2,4,1,1,2,1,"Less than high school","Female","Very much interested","About the same","50-64"
"20",3,5,4,4,3,2,3,4,2,2,2,1,1,2,1,"Less than high school","Female","Somewhat interested","About the same","65+"
"21",6,2,2,2,3,5,1,2,2,4,2,2,2,2,2,"Less than high school","Male","Somewhat interested","About the same","30-49"
"22",4,5,5,5,4,1,5,5,1,2,3,2,1,2,1,"Less than high school","Female","Very much interested","Much worse off","65+"
"23",2,5,2,5,5,1,4,4,2,2,4,1,2,2,1,"Less than high school","Male","Very much interested","About the same","18-29"
"24",6,1,3,5,5,3,3,3,3,3,3,1,2,2,1,"Less than high school","Male","Very much interested","About the same","50-64"
"25",NA,4,5,5,4,1,5,5,2,1,1,2,2,1,2,"Less than high school","Female","Very much interested","Somewhat worse off","50-64"
"26",2,5,4,5,4,2,4,4,2,2,3,2,1,2,1,"Less than high school","Male","Somewhat interested","Somewhat worse off","65+"
"27",NA,4,4,4,4,5,2,2,3,5,2,2,2,1,1,"Less than high school","Female","Very much interested","About the same","65+"
"28",5,2,4,4,4,2,2,3,2,2,2,2,1,2,1,"Less than high school","Male","Not much interested","About the same","50-64"
"29",5,5,5,5,5,1,2,4,1,4,3,1,1,2,1,"Less than high school","Male","Very much interested","About the same","65+"
