"","ideology","norm_news","norm_branches","norm_officials","norm_facts","egal_equalop","egal_worryless","egal_notbigprob","egal_fewerprobs","moraltrad_adjmoral","moraltrad_moretrad","auth_childind","auth_childcur","auth_childobed","auth_childconsid","education","sex","interest","econ_perc","age"
"1",6,5,5,5,5,5,1,1,1,3,1,2,2,2,1,6,1,2,3,46
"2",4,5,4,4,3,3,3,3,2,3,4,2,2,2,1,3,2,3,5,37
"3",2,5,5,5,5,1,5,5,1,1,5,1,1,2,1,2,2,2,3,40
"4",3,4,4,5,4,1,1,3,2,2,2,2,2,1,2,4,1,3,3,41
"5",5,5,5,5,1,4,2,3,4,4,2,1,1,2,1,8,1,2,3,72
"6",4,5,5,5,2,2,2,3,2,3,3,2,2,2,1,3,2,1,3,71
"7",4,3,4,4,3,1,3,1,1,1,1,1,2,1,1,4,2,2,5,37
"8",NA,1,1,1,1,1,5,5,1,1,1,2,2,1,2,2,2,3,5,45
"9",NA,2,4,3,2,3,4,3,3,2,3,2,2,1,2,2,2,2,3,70
"10",NA,4,5,3,2,3,4,3,5,2,3,2,1,1,1,4,1,2,4,43
"11",NA,4,4,5,3,2,4,2,2,2,2,2,2,1,2,2,2,2,2,37
"12",4,3,4,4,3,4,2,3,4,2,2,2,2,2,1,2,1,2,1,55
"13",6,1,5,4,3,3,3,3,3,3,3,2,2,2,1,2,2,2,4,30
"14",3,5,5,5,5,1,5,4,1,4,2,2,1,2,1,7,1,1,4,38
"15",4,1,3,2,2,1,5,5,2,2,2,2,2,1,2,3,2,2,3,41
"16",6,1,5,5,5,2,3,3,3,5,3,2,2,2,1,3,1,1,3,66
"17",3,5,5,5,4,1,3,4,1,2,2,1,1,2,1,6,1,1,3,54
"18",3,5,5,5,5,1,5,5,1,4,1,2,1,2,1,6,1,1,3,55
"19",2,5,4,5,5,2,4,5,2,2,4,1,1,2,1,6,2,1,3,62
"20",3,5,4,4,3,2,3,4,2,2,2,1,1,2,1,2,2,2,3,80
"21",6,2,2,2,3,5,1,2,2,4,2,2,2,2,2,7,1,2,3,31
"22",4,5,5,5,4,1,5,5,1,2,3,2,1,2,1,1,2,1,5,80
"23",2,5,2,5,5,1,4,4,2,2,4,1,2,2,1,6,1,1,3,24
"24",6,1,3,5,5,3,3,3,3,3,3,1,2,2,1,7,1,1,3,55
"25",NA,4,5,5,4,1,5,5,2,1,1,2,2,1,2,1,2,1,4,59
"26",2,5,4,5,4,2,4,4,2,2,3,2,1,2,1,6,1,2,4,73
"27",NA,4,4,4,4,5,2,2,3,5,2,2,2,1,1,1,2,1,3,72
"28",5,2,4,4,4,2,2,3,2,2,2,2,1,2,1,6,1,3,3,50
"29",5,5,5,5,5,1,2,4,1,4,3,1,1,2,1,8,1,1,3,66
"30",4,4,3,4,3,2,2,2,2,2,2,1,2,1,2,2,1,2,2,41
"31",NA,1,1,1,1,3,4,3,4,4,4,2,2,1,1,2,2,2,3,52
"32",4,5,5,5,5,5,3,3,3,3,3,1,1,2,1,3,1,3,4,45
"33",2,5,5,5,5,2,4,3,2,2,4,1,1,2,1,7,2,1,4,46
"34",6,4,3,5,3,2,3,3,3,5,1,2,1,2,2,6,1,1,2,66
"35",2,5,5,5,4,1,5,5,1,2,4,1,1,2,1,8,2,1,4,60
"36",NA,3,5,5,3,3,2,2,2,5,2,2,1,2,1,6,2,2,3,73
"37",NA,4,3,4,5,1,1,4,3,3,4,2,1,1,1,5,2,1,3,71
"38",1,5,5,5,4,1,5,5,1,2,5,1,1,2,1,8,2,2,4,28
"39",1,5,5,5,5,5,NA,5,1,3,1,1,1,2,1,7,2,1,3,73
"40",6,5,4,4,4,2,3,4,4,4,2,1,1,2,1,6,1,1,3,-9
"41",6,1,4,4,4,4,2,3,2,5,2,2,2,1,2,6,2,3,1,37
"42",4,3,3,5,3,3,3,3,2,2,3,2,2,2,1,5,2,2,4,56
"43",7,1,5,5,4,4,3,3,5,5,1,1,1,2,1,7,1,1,2,48
"44",7,4,4,4,5,5,1,1,4,5,1,1,2,2,1,6,2,1,2,53
"45",3,3,4,4,4,1,3,2,4,2,3,2,1,2,1,5,2,2,3,72
"46",6,3,2,3,3,2,4,3,3,3,3,1,2,1,2,2,1,2,3,55
"47",2,4,5,5,5,1,2,2,2,3,1,2,1,2,1,4,1,1,3,79
"48",3,5,5,5,4,2,4,4,2,1,4,1,1,2,1,6,1,2,3,38
"49",4,3,4,4,4,1,1,4,2,5,1,2,1,1,1,6,2,2,2,42
"50",6,5,5,5,4,1,5,4,2,3,2,1,1,2,1,7,1,1,2,70
"51",4,3,3,4,4,1,4,5,1,4,2,2,2,1,2,4,2,1,4,50
"52",2,5,5,5,5,2,5,5,1,4,5,2,1,2,1,7,2,1,2,50
"53",4,3,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,4,27
"54",NA,3,3,3,3,5,4,1,3,3,3,2,2,2,2,2,1,2,3,62
"55",4,1,4,5,3,5,1,3,5,5,1,2,2,1,2,5,2,1,3,51
"56",6,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,2,60
"57",3,2,4,3,2,2,2,3,2,3,2,2,2,1,1,7,2,1,3,65
"58",3,5,5,5,4,2,4,2,2,1,2,1,1,2,1,7,1,1,4,-9
"59",4,2,2,4,3,2,2,3,1,2,3,2,2,2,2,2,1,2,4,48
"60",6,2,5,4,4,1,3,4,3,3,2,2,2,1,1,2,1,2,4,55
"61",5,5,5,5,5,2,4,4,2,2,3,2,2,1,1,6,1,3,3,54
"62",4,1,5,5,5,1,3,5,4,2,4,2,2,2,2,7,2,2,5,38
"63",2,4,2,5,2,1,5,5,2,2,2,2,1,2,1,8,1,1,3,80
"64",2,5,5,5,5,1,5,5,1,1,3,1,1,2,1,7,2,1,3,37
"65",2,5,5,5,5,2,4,4,2,2,3,2,1,2,1,6,1,2,2,38
"66",4,3,5,5,5,1,5,3,1,3,2,2,1,1,1,4,1,1,3,60
"67",5,5,5,5,5,2,5,4,1,4,2,1,2,2,1,3,1,2,2,46
"68",1,5,5,5,5,1,5,5,1,1,5,1,1,2,1,7,2,1,3,78
"69",2,5,5,5,5,2,5,5,1,1,2,2,1,2,1,8,2,2,3,39
"70",2,1,5,5,4,1,5,5,1,2,4,2,2,2,1,8,2,2,4,33
"71",2,5,5,5,1,1,4,4,4,1,3,1,1,2,1,7,2,1,3,74
"72",3,3,4,5,3,3,3,3,3,3,1,2,2,1,2,4,2,1,3,61
"73",NA,2,4,5,5,1,4,4,4,4,2,2,2,1,2,3,2,1,4,67
"74",NA,4,4,4,4,2,3,3,2,2,2,2,2,1,1,2,2,1,3,60
"75",6,3,4,5,4,1,4,4,2,2,1,2,1,2,2,3,1,1,3,-9
"76",NA,4,4,3,4,4,1,3,4,3,2,2,2,1,1,3,1,2,4,21
"77",4,4,4,4,4,1,4,4,1,2,2,2,2,1,2,1,2,2,4,49
"78",2,5,5,5,5,1,5,2,1,4,1,2,1,2,1,7,1,1,3,80
"79",4,4,5,5,5,1,4,3,4,3,1,2,2,2,1,3,1,3,2,70
"80",5,4,4,5,5,1,5,4,3,4,1,2,2,1,2,2,2,2,2,70
"81",5,3,5,5,5,2,2,2,4,3,1,1,1,2,1,6,1,2,1,72
"82",7,4,5,5,5,1,1,4,4,5,1,2,2,1,1,3,2,1,2,78
"83",2,4,4,5,4,1,5,5,1,5,1,2,2,2,1,6,2,2,3,43
"84",NA,5,3,5,4,1,5,4,2,5,4,2,2,2,2,3,2,1,2,45
"85",3,3,5,5,4,1,5,5,1,1,5,2,1,2,1,6,2,2,4,44
"86",4,4,4,5,3,1,5,5,1,3,4,2,2,2,2,4,2,1,3,50
"87",4,2,3,4,4,2,3,4,2,2,2,2,2,1,1,7,2,3,3,-9
"88",3,3,4,5,5,2,4,4,2,2,4,2,1,2,1,6,2,2,3,33
"89",NA,2,5,5,5,3,2,3,2,2,3,2,2,1,2,2,2,3,3,55
"90",5,2,3,4,3,4,1,2,2,2,2,1,2,1,2,6,2,2,3,28
"91",5,2,5,5,2,4,2,3,5,3,2,2,2,1,1,7,2,1,2,34
"92",2,3,5,5,5,2,4,4,1,2,4,1,1,2,1,6,2,3,3,24
"93",7,1,4,5,3,2,3,2,3,4,1,2,2,1,1,4,2,1,4,26
"94",3,5,5,4,4,2,4,4,1,2,2,2,1,2,1,2,1,1,3,75
"95",5,2,2,4,4,4,2,3,3,3,2,2,2,1,2,6,1,1,3,61
"96",6,4,4,5,4,1,2,2,1,5,1,2,1,1,1,7,2,1,2,80
"97",3,5,5,5,5,1,5,5,1,2,1,2,1,2,1,3,1,1,2,58
"98",4,3,5,5,5,1,5,5,1,5,5,2,2,2,1,6,2,1,4,50
"99",3,5,5,5,5,1,5,5,1,3,5,1,1,2,1,6,2,1,3,76
"100",4,3,3,4,3,3,2,3,2,4,2,1,1,2,1,3,2,2,3,80
"101",2,2,4,4,4,1,1,5,1,5,5,2,2,1,1,2,2,2,2,48
"102",3,3,3,3,3,5,5,5,5,5,5,2,2,1,1,2,2,3,4,61
"103",2,2,4,5,5,1,5,5,2,2,5,2,1,2,1,7,2,1,3,45
"104",6,3,2,4,3,3,1,3,2,5,1,2,2,1,1,4,2,1,2,37
"105",6,5,5,5,5,1,1,1,4,2,1,1,1,2,1,6,1,1,2,36
"106",2,5,5,5,4,1,5,5,1,2,4,2,2,2,1,1,2,1,3,80
"107",7,4,5,5,5,2,1,2,2,5,1,2,2,1,2,2,2,2,2,66
